ID	Hmk	Lab	Mid	Fin	TOTAL
XXX6671	81.0	85.0	20.0	70.0	74.1
XXX7158	93.0	87.0	90.0	51.0	74.1
XXX5563	94.0	83.0	67.0	77.0	79.9
XXX8795	91.0	92.0	96.0	66.0	82.7
XXX8515	84.0	81.0	77.0	61.0	72.1
XXX7103	84.0	88.0	76.0	71.0	77.2
XXX7015	90.0	86.0	85.0	53.0	72.9
XXX7781	80.0	91.0	69.0	45.0	64.9
XXX5827	96.0	78.0	25.0	84.0	84.0
XXX0167	89.0	96.0	66.0	76.0	81.3
XXX8666	87.0	90.0	44.0	41.0	56.3
XXX5210	98.0	91.0	44.0	88.0	89.6
XXX5718	94.0	95.0	67.0	39.0	64.1
XXX9818	94.0	85.0	58.0	78.0	81.0
XXX3029	94.0	87.0	60.0	74.0	78.6
XXX6540	96.0	85.0	63.0	48.0	64.7
XXX6865	91.0	82.0	44.0	66.0	71.7
XXX7237	95.0	95.0	90.0	75.0	85.5
XXX8192	90.0	97.0	97.0	39.0	73.1
XXX8447	95.0	73.0	79.0	39.0	63.4
XXX5164	99.0	91.0	25.0	99.0	97.4
XXX4958	93.0	70.0	69.0	90.0	86.3
XXX5217	86.0	78.0	43.0	58.0	64.8
XXX5936	81.0	99.0	36.0	57.0	67.8
XXX3788	99.0	97.0	95.0	95.0	95.8
XXX3912	84.0	79.0	44.0	94.0	90.0
XXX2667	99.0	75.0	25.0	36.0	50.1
XXX6661	85.0	99.0	51.0	83.0	86.4
XXX2698	98.0	99.0	24.0	43.0	59.7
XXX0679	85.0	81.0	47.0	44.0	56.4
XXX4365	81.0	74.0	86.0	30.0	60.7
XXX1703	92.0	82.0	81.0	44.0	67.5
XXX1977	97.0	80.0	29.0	85.0	85.2
XXX4747	82.0	89.0	57.0	86.0	86.2
XXX4048	82.0	99.0	99.0	68.0	84.9
XXX5903	97.0	91.0	92.0	76.0	85.9
XXX8621	97.0	96.0	95.0	80.0	89.4
XXX1494	95.0	71.0	52.0	93.0	88.8
XXX1427	92.0	74.0	91.0	38.0	66.5
XXX9152	96.0	80.0	83.0	49.0	70.1
XXX2914	99.0	86.0	95.0	51.0	76.0
XXX6043	92.0	86.0	59.0	50.0	64.1
XXX8410	83.0	99.0	25.0	53.0	65.2
XXX7311	91.0	92.0	76.0	69.0	77.9
XXX6971	99.0	90.0	96.0	31.0	69.1
XXX2857	93.0	98.0	37.0	90.0	91.9
XXX7683	96.0	99.0	31.0	74.0	81.2
XXX4711	84.0	76.0	31.0	40.0	51.6
XXX0522	84.0	90.0	24.0	33.0	49.5
