ID	homework	lab	midterm	final
1860589	93.0	97.0	44.0	38.0
1861200	94.0	90.0	55.0	67.0
1645480	90.0	85.0	86.0	77.0
1841238	80.0	86.0	95.0	37.0
1561113	94.0	93.0	20.0	44.0
1968418	97.0	85.0	69.0	75.0
1776563	82.0	77.0	23.0	39.0
1062967	87.0	99.0	55.0	63.0
1404473	83.0	88.0	85.0	58.0
1163459	86.0	90.0	84.0	42.0
1300973	83.0	97.0	20.0	30.0
1135231	80.0	83.0	80.0	90.0
1462533	98.0	93.0	56.0	50.0
1423934	80.0	89.0	92.0	74.0
1433549	82.0	99.0	71.0	30.0
1915879	83.0	80.0	60.0	63.0
1073650	91.0	79.0	98.0	66.0
1710299	90.0	71.0	76.0	74.0
1668244	98.0	76.0	71.0	34.0
1791560	98.0	91.0	40.0	43.0
1789551	81.0	75.0	60.0	48.0
1559274	89.0	73.0	60.0	55.0
1322012	83.0	98.0	57.0	68.0
1081550	84.0	85.0	77.0	41.0
1835690	86.0	90.0	53.0	33.0
1809565	80.0	72.0	63.0	52.0
1007307	81.0	90.0	20.0	99.0
1343127	91.0	97.0	34.0	45.0
1116641	97.0	78.0	22.0	55.0
1515974	85.0	93.0	80.0	51.0
1509239	94.0	95.0	69.0	73.0
1354189	86.0	96.0	44.0	90.0
1645898	92.0	70.0	56.0	40.0
1098867	92.0	89.0	78.0	81.0
1160811	96.0	81.0	51.0	58.0
1326671	81.0	85.0	20.0	70.0
1317158	93.0	87.0	90.0	51.0
1535563	94.0	83.0	67.0	77.0
1398795	91.0	92.0	96.0	66.0
1478515	84.0	81.0	77.0	61.0
1967103	84.0	88.0	76.0	71.0
1517015	90.0	86.0	85.0	53.0
1767781	80.0	91.0	69.0	45.0
1715827	96.0	78.0	25.0	84.0
1580167	89.0	96.0	66.0	76.0
1568666	87.0	90.0	44.0	41.0
1425210	98.0	91.0	44.0	88.0
1685718	94.0	95.0	67.0	39.0
1449818	94.0	85.0	58.0	78.0
1333029	94.0	87.0	60.0	74.0
1486540	96.0	85.0	63.0	48.0
1846865	91.0	82.0	44.0	66.0
1017237	95.0	95.0	90.0	75.0
1728192	90.0	97.0	97.0	39.0
1368447	95.0	73.0	79.0	39.0
1195164	99.0	91.0	25.0	99.0
1574958	93.0	70.0	69.0	90.0
1535217	86.0	78.0	43.0	58.0
1385936	81.0	99.0	36.0	57.0
1943788	99.0	97.0	95.0	95.0
1383912	84.0	79.0	44.0	94.0
1422667	99.0	75.0	25.0	36.0
1326661	85.0	99.0	51.0	83.0
1072698	98.0	99.0	24.0	43.0
1800679	85.0	81.0	47.0	44.0
1314365	81.0	74.0	86.0	30.0
1051703	92.0	82.0	81.0	44.0
1281977	97.0	80.0	29.0	85.0
1084747	82.0	89.0	57.0	86.0
1564048	82.0	99.0	99.0	68.0
1605903	97.0	91.0	92.0	76.0
1108621	97.0	96.0	95.0	80.0
1021494	95.0	71.0	52.0	93.0
1231427	92.0	74.0	91.0	38.0
1549152	96.0	80.0	83.0	49.0
1712914	99.0	86.0	95.0	51.0
1846043	92.0	86.0	59.0	50.0
1168410	83.0	99.0	25.0	53.0
1437311	91.0	92.0	76.0	69.0
1786971	99.0	90.0	96.0	31.0
1182857	93.0	98.0	37.0	90.0
1217683	96.0	99.0	31.0	74.0
1484711	84.0	76.0	31.0	40.0
1500522	84.0	90.0	24.0	33.0
